order,lexbib_prop,propLabel,datatype,wikidata_prop,zotero,,
6,P6,title,String,P1476,title,,
11,P11,language,WikibaseItem,P407,language,,
12,P12,author,WikibaseItem,P50,author,,
13,P13,editor,WikibaseItem,P98,editor,,
14,P14,publication place,String,,publisher-place,,
15,P15,publication date,Time,P577,issued,,
16,P16,Zotero item ID,ExternalId,,,,
17,P17,DOI,ExternalId,P356,DOI,,
18,P18,ISBN-13,ExternalId,P212,isbn,,
19,P19,ISBN-10,ExternalId,P957,isbn,,
20,P20,ISSN,ExternalId,P236,issn,,
22,P22,volume,String,P478,volume,,
23,P23,issue,String,P433,issue,,
24,P24,page(s) or chapter,String,P304,page,,
25,P25,is review of,WikibaseItem,P6977,,,
26,P26,reviewed in,WikibaseItem,,,,
27,P27,subject,WikibaseItem,P921,,,
28,P28,part of,WikibaseItem,P361,,,
29,P29,first author location,WikibaseItem,,,,
30,P30,part of conference series,WikibaseItem,P361,,,
31,P31,has part,WikibaseItem,P527,,,
32,P32,ISO 639-3 code,ExternalId,P220,,,
33,P33,series ordinal,String,P1545,,,
34,P34,reserved (url),Url,,,,
35,P163,publisher,String,P123,publisher,,
36,,event,String,P5072,,,*
38,P38,source literal,String,,,,
39,P39,ORCID,ExternalId,P496,,,
40,P40,given name source literal,String,,,,
41,P41,family name source literal,String,,,,
43,P43,wikimedia language code,String,P424,,,
44,P44,official website,Url,P856,,,
45,P45,country of origin,WikibaseItem,P495,,,
46,P46,part of journal,WikibaseItem,P361,,,
47,P47,different from,WikibaseItem,P1889,,,
48,P48,range,WikibaseItem,,,,
51,P51,VIAF ID,ExternalId,P214,,,
52,P52,date of birth,Time,P569,,,
53,P53,date of death,Time,P570,,,
54,P54,ISO 4 abbreviation,ExternalId,P1160,,,
55,P55,has distribution,WikibaseItem,,,,
56,P56,object language,WikibaseItem,,,,
59,P59,media part,WikibaseItem,,,,
60,P60,distribution of,WikibaseItem,,,,
61,P61,is described by term,WikibaseItem,,,,
62,P62,OCLC,ExternalId,P243,extra,,*
63,P63,is continued by LCR,WikibaseItem,,,,
64,P64,edition number,String,P393,edition,,
65,P65,country,WikibaseItem,P17,,,
66,P66,English Wikipedia article URL,Url,,,,
68,P68,start date,Time,P580,,,
69,P69,end date,Time,P582,,,
70,P70,Zotero fulltext PDF,ExternalId,,,,
71,P71,Zotero fulltext TXT,ExternalId,,,,
75,P75,subject of,WikibaseItem,,,,
80,P80,skos:definition,String,,,,
81,P81,skos:note,String,,,,
83,P83,source,WikibaseItem,P1343,,,
84,P84,source name,String,,,,
90,P90,dictionary scope type,WikibaseItem,,,,
91,P91,distribution type,WikibaseItem,,,,
92,P92,mention count,String,,,,
93,P93,relative frequency,String,,,,
94,P94,inverse property,WikibaseProperty,P1696,,,
95,P95,subproperty of,WikibaseProperty,P1647,,,
96,P96,contains term,WikibaseItem,,,,
97,P97,short title,String,,,,
99,P99,ISO-639-1 language code,ExternalId,P218,,,
100,P100,bibitem type,WikibaseItem,,,,
101,P101,preferred given name,String,,,,
102,P102,preferred family name,String,,,,
103,P103,coordinate location,GlobeCoordinate,P625,,,
104,P104,inception,Time,P571,,,
105,P105,contains abstract in,WikibaseItem,,,,
107,P107,organizer,WikibaseItem,P664,,,
108,P108,source URI,Url,,,,
112,P112,access location,Url,P953,URL,,
113,P113,download location,Url,P953,URL,,
115,P115,linguality type,WikibaseItem,,,,
118,P118,has realisation,WikibaseItem,,,,
119,P119,lexicographical process type,WikibaseItem,,,,
120,P120,dictionary function type,WikibaseItem,,,,
121,P121,dictionary access type,WikibaseItem,,,,
122,P122,metalanguage,WikibaseItem,,,,
123,P123,LCR subclass,WikibaseItem,,,,
124,P124,is replaced with,WikibaseItem,,,,
125,P125,part of LCR,WikibaseItem,,,,
126,P126,year of publication,String,,,,
127,P127,microstructure feature,WikibaseItem,,,,
133,P133,is version of,WikibaseItem,,,,
134,P134,target language,WikibaseItem,,,,
135,P135,replaces LCR,WikibaseItem,,,,
136,P136,is similar to LCR,WikibaseItem,,,,
137,P137,is related to LCR,WikibaseItem,,,,
138,P138,is exact match with LCR,WikibaseItem,,,,
139,P139,is part with LCR,WikibaseItem,,,,
140,P140,is continuation of LCR,WikibaseItem,,,,
141,P141,is converted version of LCR,WikibaseItem,,,,
142,P142,has original source,WikibaseItem,,,,
143,P143,has part LCR,WikibaseItem,,,,
144,P144,has version LCR,WikibaseItem,,,,
145,P145,is combined with LCR,WikibaseItem,,,,
147,P147,cites,WikibaseItem,P2860,,,
150,P150,source language,WikibaseItem,,,,
151,P151,lemma type,WikibaseItem,,,,
152,P152,dictionary text part,WikibaseItem,,,,
154,P154,resource creator,WikibaseItem,P50,,,
155,P155,IPR holder,WikibaseItem,,,,
156,P156,LCR name,Monolingualtext,P1476,,,
157,P157,LCR provider,WikibaseItem,P123,,,
159,P159,cardinality,String,,,,
161,P161,number of entries,String,,,,
162,P162,author(s) literal,String,,,,
164,P164,publishing place(s) literal,String,,,,
165,P165,described on lexbib wikipage,ExternalId,,,,
166,P166,rdf:type (OWL),Url,,,,
167,P167,skos:exactMatch (OWL),Url,,,,
168,P168,domain,WikibaseItem,,,,
169,P169,subPropertyOf (OWL),Url,,,,
170,P170,range expression (OWL),String,,,,
171,P171,affiliation,WikibaseItem,P108,,,
172,P172,contributor,WikibaseItem,,contributor,,
174,P174,Inguma Wikibase ID,ExternalId,,,,
175,P175,pivot language,WikibaseItem,,,,
177,P177,is realisation of,WikibaseItem,,,,
178,P178,has outcome,WikibaseItem,,,,
179,P179,has converted version,WikibaseItem,,,,
181,P181,date of creation,Time,,,,
182,P182,translator,WikibaseItem,,translator,,
